name,address,coordinates,govprisons,private,geoprison,corecivicprison,coordinates_rev,State,stateshortname,PrisonName,stateprison,longitude,latitude,geometry
FPC Alderson,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",POINT (-80.66802077985248 37.72462420803528),1.0,0.0,0.0,0.0,"(37.72462420803528, -80.66802077985248)",West Virginia,WV,,,,,
FCI Aliceville,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",POINT (-88.19286880231722 33.176366658912926),1.0,0.0,0.0,0.0,"(33.176366658912926, -88.19286880231722)",Alabama,AL,,,,,
FCI Ashland,"ST. ROUTE 716, ASHLAND, KY 41105",POINT (-82.70363800690367 38.44025436888199),1.0,0.0,0.0,0.0,"(38.44025436888199, -82.70363800690367)",Kentucky,KY,,,,,
FCI Atlanta,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",POINT (-84.36899652238671 33.710511),1.0,0.0,0.0,0.0,"(33.710511, -84.36899652238671)",Georgia,GA,,,,,
USP Atwater,"1 FEDERAL WAY, ATWATER, CA 95301",POINT (-120.55881644774462 37.3858987),1.0,0.0,0.0,0.0,"(37.3858987, -120.55881644774462)",California,CA,,,,,
FCI Bastrop,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",POINT (-97.31376724922312 30.19279730714621),1.0,0.0,0.0,0.0,"(30.19279730714621, -97.31376724922312)",Texas,TX,,,,,
FCI Beckley,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",POINT (-81.12959089753733 37.816386050000006),1.0,0.0,0.0,0.0,"(37.816386050000006, -81.12959089753733)",West Virginia,WV,,,,,
FCI Bennettsville,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",POINT (-79.71835984695761 34.67227145),1.0,0.0,0.0,0.0,"(34.67227145, -79.71835984695761)",South Carolina,SC,,,,,
FCI Berlin,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",POINT (-71.13599150337436 44.5214673),1.0,0.0,0.0,0.0,"(44.5214673, -71.13599150337436)",New Hampshire,NH,,,,,
USP Big Sandy,"1197 AIRPORT ROAD, INEZ, KY 41224",POINT (-82.64600576673514 37.77134065),1.0,0.0,0.0,0.0,"(37.77134065, -82.64600576673514)",Kentucky,KY,,,,,
FCI Big Spring,"1900 SIMLER AVE, BIG SPRING, TX 79720",POINT (-101.50854329332356 32.22550405561069),1.0,0.0,0.0,0.0,"(32.22550405561069, -101.50854329332356)",Texas,TX,,,,,
MDC Brooklyn,"80 29TH STREET, BROOKLYN, NY 11232",POINT (-74.00358737108004 40.659735049999995),1.0,0.0,0.0,0.0,"(40.659735049999995, -74.00358737108004)",New York,NY,,,,,
FPC Bryan,"1100 URSULINE AVENUE, BRYAN, TX 77803",POINT (-96.360108490371 30.678684349999997),1.0,0.0,0.0,0.0,"(30.678684349999997, -96.360108490371)",Texas,TX,,,,,
