,State,stateshortname,PrisonName,stateprison,longitude,latitude
0,Alabama,AL,Bibb Correctional Facility,1,-87.1627807,32.9207544
1,Alabama,AL,Bullock Correctional Facility,1,-85.6739273,32.1471443
2,Alabama,AL,William E. Donaldson Correctional Facility,1,-87.1847963,33.51405370000001
3,Alabama,AL,Easterling Correctional Facility,1,-85.58496579999999,31.6908023
4,Alabama,AL,Elmore Correctional Facility,1,-86.32133569999999,32.5744376
5,Alabama,AL,Fountain Correctional Facility,1,-87.4645704,31.1568953
6,Alabama,AL,Hamilton Aged & Infirmed,1,-87.98864379999999,34.1423235
7,Alabama,AL,Holman Correctional Facility,1,-87.45121429999999,31.1352453
8,Alabama,AL,St. Clair Correctional Facility,1,-86.38565059999999,33.7469215
9,Alabama,AL,Staton Correctional Facility,1,-86.3331571,32.57716550000001
10,Alabama,AL,Julia Tutwiler Prison for Women,1,-86.1940048,32.5640382
11,Alabama,AL,Kilby Correctional Facility,1,-86.10174370000001,32.3879038
12,Alabama,AL,Limestone Correctional Facility,1,-86.8059248,34.811017
13,Alabama,AL,Ventress Correctional Facility,1,-85.4928783,31.8889518
14,Alaska,AK,Anchorage Correctional Complex,1,-149.8567296,61.2186086
15,Alaska,AK,Anchorage Correctional Complex East,1,-149.8567296,61.2186086
16,Alaska,AK,Anchorage Correctional Complex West,1,-149.8567296,61.2186086
17,Alaska,AK,Anvil Mountain Correctional Center,1,-165.4125693,64.5372083
18,Alaska,AK,Fairbanks Correctional Center,1,-147.7591515,64.8333367
19,Alaska,AK,Goose Creek Correctional Center,1,-150.0079986,61.35979260000001
20,Alaska,AK,Hiland Mountain Correctional Center,1,-149.580061,61.30199500000001
21,Alaska,AK,Ketchikan Correctional Center,1,-131.6499571,55.3481991
22,Alaska,AK,Lemon Creek Correctional Center,1,-134.4839782,58.3623962
23,Alaska,AK,Mat-Su Pretrial Facility,1,-149.1094859,61.6023138
24,Alaska,AK,Palmer Medium and Minimum Correctional Centers,1,-154.4930619,63.588753
25,Alaska,AK,Spring Creek Correctional Center,1,-149.3380741,60.0939166
26,Alaska,AK,Wildwood Correctional Center,1,-151.3000522,60.584234
27,Alaska,AK,Wildwood Pretrial Facility,1,-151.3000461,60.58395890000001
28,Alaska,AK,Yukon-Kuskokwim Correctional Center,1,-161.7866538,60.7860621
29,Alaska,AK,Point MacKenzie Correctional Farm,1,-150.0924149,61.4186
30,Arizona,AZ,Arizona State Prison Complex – Douglas ,1,-109.6000765,31.4455211
31,Arizona,AZ,Arizona State Prison Complex – Eyman ,1,-111.3305854,33.0369974
32,Arizona,AZ,Arizona State Prison Complex – Florence ,1,-111.373139,33.0285822
33,Arizona,AZ,Arizona State Prison Complex – Lewis ,1,-112.6557775,33.2009209
34,Arizona,AZ,Arizona State Prison Complex – Perryville,1,-112.4422426,33.4710105
35,Arizona,AZ,Arizona State Prison Complex – Phoenix ,1,-112.0237862,33.4523949
36,Arizona,AZ,Arizona State Prison Complex – Safford,1,-109.5661589,32.8290654
37,Arizona,AZ,Arizona State Prison Complex – Tucson,1,-110.8593386,32.0678392
38,Arizona,AZ,Arizona State Prison Complex – Winslow ,1,-110.718345,34.9846405
39,Arizona,AZ,Arizona State Prison Complex – Yuma ,1,-114.6424863,32.4863849
40,Arkansas,AR,Barbara Ester Unit,1,-92.0830331,34.2220923
41,Arkansas,AR,Benton Unit ,1,-92.58537799999999,34.5693083
42,Arkansas,AR,Cummins Unit,1,-91.57901439999999,34.0639889
43,Arkansas,AR,Delta Regional Unit,1,-91.4149863,33.5189554
44,Arkansas,AR,East Arkansas Regional Unit ,1,-90.60000610000002,34.8491859
45,Arkansas,AR,Grimes Unit,1,-91.18799109999999,35.6260082
46,Arkansas,AR,J. Aaron Hawkins Sr. Center,1,-91.51097159999999,36.1497914
47,Arkansas,AR,Maximum Security Unit,1,-91.9153589,34.4545849
48,Arkansas,AR,McPherson Unit,1,-91.1936772,35.6256219
49,Arkansas,AR,Mississippi County Work Release Center,1,-89.9642811,35.7783972
50,Arkansas,AR,North Central Unit ,1,-92.1505389,36.1632568
51,Arkansas,AR,Northwest Arkansas Work Release Center,1,-94.1356938,36.1749452
52,Arkansas,AR,Ouachita River Unit,1,-92.8428947,34.3448845
53,Arkansas,AR,Pine Bluff Unit ,1,-92.08143919999999,34.2209507
54,Arkansas,AR,Randall L. Williams Correctional Center,1,-92.0776894,34.2218319
55,Arkansas,AR,Texarkana Regional Correction Center,1,-94.0413063,33.4263617
56,Arkansas,AR,Tucker Unit,1,-91.9099312,34.439058
57,Arkansas,AR,Willis H. Sargent Training Academy,1,-91.8318334,35.20105
58,Arkansas,AR,Varner Unit,1,-91.6082034,34.0425076
59,Arkansas,AR,Wrightsville Unit,1,-92.2194768,34.6167733
60,California,CA,Avenal State Prison,1,-120.1233101,35.9743318
61,California,CA,California City Correctional Facility,1,-117.8587484,35.1517676
62,California,CA,California Correctional Institution,1,-118.5694868,35.1133011
63,California,CA,California Health Care Facility,1,-121.1864019,37.8972065
64,California,CA,California Institution for Men,1,-117.6826422,33.981973
65,California,CA,California Institution for Women,1,-117.6348484,33.9493264
66,California,CA,California Medical Facility,1,-121.9769425,38.32927790000001
67,California,CA,California Men's Colony,1,-120.6944703,35.3253675
68,California,CA,California Rehabilitation Center,1,-117.5715198,33.9308802
69,California,CA,"California State Prison, Centinela",1,-115.7888117,32.8204948
70,California,CA,"California State Prison, Corcoran",1,-119.5508573,36.0605733
71,California,CA,"California State Prison, Los Angeles County",1,-118.227628,34.696373
72,California,CA,"California State Prison, Sacramento",1,-121.1573499,38.6916076
73,California,CA,"California State Prison, Solano",1,-121.9749219,38.3208192
74,California,CA,"California Substance Abuse Treatment Facility and State Prison, Corcoran",1,-119.5604015,36.098007
75,California,CA,Calipatria State Prison,1,-115.4847385,33.1630656
76,California,CA,Central California Women's Facility,1,-120.1498291,37.0898065
77,California,CA,Chuckawalla Valley State Prison,1,-114.9088546,33.5628161
78,California,CA,Correctional Training Facility,1,-121.3826401,36.470807
79,California,CA,Folsom State Prison,1,-121.1572053,38.6913497
80,California,CA,High Desert State Prison,1,-120.5124802,40.4106737
81,California,CA,Ironwood State Prison,1,-114.9268671,33.5606872
82,California,CA,Kern Valley State Prison,1,-119.3207594,35.7660403
83,California,CA,Mule Creek State Prison,1,-120.9537285,38.37063089999999
84,California,CA,North Kern State Prison,1,-119.3096243,35.78272949999999
85,California,CA,Pelican Bay State Prison,1,-124.1503259,41.85374789999999
86,California,CA,Pleasant Valley State Prison,1,-120.2491987,36.1296774
87,California,CA,Richard J. Donovan Correctional Facility,1,-116.9337257,32.5847064
88,California,CA,Salinas Valley State Prison,1,-121.3756429,36.4811696
89,California,CA,San Quentin State Prison,1,-122.4892327,37.9387136
90,California,CA,Sierra Conservation Center,1,-120.5380359,37.8934741
91,California,CA,Valley State Prison,1,-120.1531236,37.1011998
92,California,CA,Wasco State Prison,1,-119.4072212,35.593903
93,Colorado,CO,Arkansas Valley Correctional Facility ,1,-103.8404542,38.1892477
94,Colorado,CO,Arrowhead Correctional Center,1,-105.1561063,38.4348311
95,Colorado,CO,Buena Vista Correctional Facility ,1,-106.117628,38.82200690000001
96,Colorado,CO,Centennial Correctional Facility,1,-105.1524658,38.4375618
97,Colorado,CO,Colorado Correctional Center ,1,-106.1086379,37.7530563
98,Colorado,CO,Colorado State Penitentiary,1,-105.1579266,38.4404178
99,Colorado,CO,Colorado Territorial Correctional Facility ,1,-105.2494244,38.4373058
100,Colorado,CO,Delta Correctional Center,1,-108.0689582,38.7422062
101,Colorado,CO,Denver Reception & Diagnostic Center,1,-104.990251,39.7392358
102,Colorado,CO,Denver Women's Correctional Facility ,1,-104.8628834,39.7651016
103,Colorado,CO,Four Mile Correctional Center ,1,-106.1086379,37.7530563
104,Colorado,CO,Fremont Correctional Facility,1,-105.160995,38.4227307
105,Colorado,CO,LaVista Correctional Facility ,1,-104.6297228,38.2849302
106,Colorado,CO,Limon Correctional Facility,1,-103.6937878,39.2165582
107,Colorado,CO,Rifle Correctional Center ,1,-107.7831198,39.5347023
108,Colorado,CO,San Carlos Correctional Facility ,1,-104.6315424,38.2799147
109,Colorado,CO,Skyline Correctional Center,1,-105.7820674,39.5500507
110,Colorado,CO,Sterling Correctional Facility ,1,-103.1622869,40.6113752
111,Colorado,CO,Trinidad Correctional Facility,1,-104.2868913,37.3003414
112,Connecticut,CT,Bridgeport Correctional Center ,1,-73.20105819999999,41.19050499999999
113,Connecticut,CT,Brooklyn Correctional Institution,1,-71.95420349999999,41.7842438
114,Connecticut,CT,Cheshire Correctional Institution,1,-72.9000526,41.5214745
115,Connecticut,CT,Corrigan-Radgowski Correctional Center ,1,-72.1116828,41.4531688
116,Connecticut,CT,Garner Correctional Institution,1,-73.2721138,41.4001595
117,Connecticut,CT,Hartford Correctional Center ,1,-72.6615415,41.793534
118,Connecticut,CT,MacDougall-Walker Correctional Institution,1,-72.63769529999999,41.9500617
119,Connecticut,CT,Manson Youth Institution ,1,-72.8995496,41.5288489
120,Connecticut,CT,New Haven Correctional Center ,1,-72.9398592,41.3176058
121,Connecticut,CT,Osborn Correctional Institution ,1,-72.4971879,42.0166063
122,Connecticut,CT,Robinson Correctional Institution ,1,-72.5155915,42.015646
123,Connecticut,CT,Willard-Cybulski Correctional Institution,1,-72.506421,42.0232992
124,Connecticut,CT,York Correctional Institution,1,-72.2374802,41.3228139
125,Delaware,DE,Delores J. Baylor Women's Correctional Institution,1,-75.581426,39.7033341
126,Delaware,DE,Howard R. Young Correctional Institution ,1,-75.5297229,39.7413509
127,Delaware,DE,James T. Vaughn Correctional Center ,1,-75.5996353,39.3330245
128,Delaware,DE,Sussex Correctional Institution ,1,-75.3702148,38.6598301
